Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Error_Missing_Transaction_ID,Error_Invalid_Transaction_ID,Error_Duplicate_Transaction_ID,Error_Missing_Customer_ID,Error_Invalid_Customer_ID,Error_Missing_Date,Error_Invalid_Date,Error_Missing_Product,Error_Invalid_Product,Error_Missing_Quantity,Error_Invalid_Quantity,Error_Missing_Price,Error_Invalid_Price_Format,Error_Invalid_Price_Value,Error_Missing_Payment_Method,Error_Nonstandard_Payment,Error_Missing_Status,Error_Nonstandard_Status,Error_Count,Error_Type,Is_Anomaly
T0011,2023-13-01,C1004,Laptop,10.0,-600.8393093751704,PayPal ,complete,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,Invalid Date | Invalid Price Value | Nonstandard Status,1
T0012,2023-13-01,C2912,Tablet,608.0,,PayPal ,completed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,Invalid Date | Missing Price | Nonstandard Status,1
T0013,2020-03-18,C1692,Smartphone,564.0,,Cash,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Missing Price,1
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,creditcard,Failed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Nonstandard Payment Method,1
T0015,2025-02-30,C3879,Headphones,-2.0,523.8427581553709,credit card,Pending,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,Invalid Date | Invalid Quantity | Nonstandard Payment Method,1
T0016,2025-02-30,C2837,Laptop,-3.0,,creditcard,Pending,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,Invalid Date | Invalid Quantity | Missing Price | Nonstandard Payment Method,1
T0017,2020-07-07,C3776,Smartphone,236.0,-94.55726526729006,credit card,Pending,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,Invalid Price Value | Nonstandard Payment Method,1
T0018,2025-02-30,C847,Coffee Ma,7.0,-108.43782406112234,credit card,complete,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,5,Invalid Date | Invalid Product | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0019,2024-02-19,C4871,Smartphone,,,pay pal,Pending,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,Missing Quantity | Missing Price | Nonstandard Payment Method,1
T0020,2025-02-30,C1924,Headphones,-6.0,,pay pal,,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,5,Invalid Date | Invalid Quantity | Missing Price | Nonstandard Payment Method | Missing Status,1
T0021,2025-02-30,C1137,Coffee Machine,856.0,-488.8626491104135,Credit Card,Failed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,Invalid Date | Invalid Price Value,1
T0022,2023-13-01,C3883,Smartphone,9.0,,creditcard,Completed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,Invalid Date | Missing Price | Nonstandard Payment Method,1
T0023,2025-02-30,C4877,Tablet,538.0,-733.8292284642129,PayPal ,complete,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,Invalid Date | Invalid Price Value | Nonstandard Status,1
T0024,2023-11-03,C828,Coffee Machine,487.0,,Cash,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,Missing Price | Missing Status,1
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,PayPal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Missing Status,1
T0026,2020-01-01,C1096,Cof,654.0,,PayPal ,complete,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,Invalid Product | Missing Price | Nonstandard Status,1
T73466,2025-02-30,C2702,Coffee Machine,-5.0,555.6133483579025,creditcard,complete,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,5,Duplicate Transaction ID | Invalid Date | Invalid Quantity | Nonstandard Payment Method | Nonstandard Status,1
T0028,2025-02-30,C3025,Smar,7.0,$797.34,PayPal,complete,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,Invalid Date | Invalid Product | Nonstandard Status,1
T0029,2025-02-30,C1345,Smartphone,-5.0,-295.7651514883837,PayPal,Pending,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,Invalid Date | Invalid Quantity | Invalid Price Value,1
T0030,2021-10-16,C3058,Headphones,5.0,,PayPal ,Failed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Missing Price,1
T0031,2024-07-17,C3672,Tablet,-5.0,787.9940762988269,Credit Card,completed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,Invalid Quantity | Nonstandard Status,1
T0032,2023-10-05,,Laptop,-7.0,,Credit Card,Completed,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,Missing Customer ID | Invalid Customer ID | Invalid Quantity | Missing Price,1
T0033,2025-02-30,C1844,Coffee Machine,-3.0,546.7808345069353,PayPal,Failed,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,Invalid Date | Invalid Quantity,1
T0034,2025-02-30,C1406,Coffee Machine,3.0,-120.68099580920125,creditcard,complete,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0035,2022-07-25,C2579,Coffee Machine,485.0,$970.28,credit card,Completed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Nonstandard Payment Method,1
T0036,2023-13-01,C292,Laptop,2.0,-596.4257637659894,pay pal,completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0037,2023-13-01,C2492,Smartphone,-10.0,$711.71,pay pal,Pending,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,Invalid Date | Invalid Quantity | Nonstandard Payment Method,1
T0038,2020-06-18,C2208,Laptop,8.0,,creditcard,Failed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Missing Price | Nonstandard Payment Method,1
T0039,2023-13-01,C4687,Tablet,9.0,,PayPal,completed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,Invalid Date | Missing Price | Nonstandard Status,1
T0040,2023-13-01,C3328,Headphones,7.0,,pay pal,Failed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,Invalid Date | Missing Price | Nonstandard Payment Method,1
T0041,2023-10-20,C1693,Laptop,865.0,,credit card,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Missing Price | Nonstandard Payment Method,1
T0042,2021-08-04,C4796,Coffee Machine,8.0,,credit card,Failed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Missing Price | Nonstandard Payment Method,1
T0043,2025-02-30,C4046,Smartphone,-10.0,,Cash,Pending,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,Invalid Date | Invalid Quantity | Missing Price,1
T0044,,C246,Smar,-10.0,,Cash,Completed,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,4,Missing Date | Invalid Product | Invalid Quantity | Missing Price,1
T0045,2023-13-01,C3393,Smartphone,-5.0,653.3867399963707,creditcard,Pending,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,Invalid Date | Invalid Quantity | Nonstandard Payment Method,1
T0046,2025-02-30,C2797,Coffee Machine,825.0,-788.7705027101282,PayPal,Completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,Invalid Date | Invalid Price Value,1
T0047,2025-02-30,C2200,Laptop,,,Cash,completed,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,4,Invalid Date | Missing Quantity | Missing Price | Nonstandard Status,1
T0048,2025-02-30,C987,Headphones,-5.0,-527.0952322435783,Credit Card,Pending,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,Invalid Date | Invalid Quantity | Invalid Price Value,1
T0049,2020-06-18,C4480,Laptop,762.0,,credit card,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Missing Price | Nonstandard Payment Method,1
T0050,2021-04-23,,Tablet,-6.0,$969.72,PayPal ,Completed,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,Missing Customer ID | Invalid Customer ID | Invalid Quantity,1
T0051,2025-02-30,C591,Coffee M,272.0,-253.7301092365127,Cash,,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4,Invalid Date | Invalid Product | Invalid Price Value | Missing Status,1
T0052,2022-12-20,C4029,Headphones,839.0,-756.3340765354607,PayPal ,Pending,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Invalid Price Value,1
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,credit card,Failed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Nonstandard Payment Method,1
T0054,2023-13-01,C642,Tablet,4.0,,Credit Card,Completed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,Invalid Date | Missing Price,1
T0055,2024-04-17,C2474,Coffee Machine,867.0,130.23186429200612,creditcard,Pending,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Nonstandard Payment Method,1
T0056,2025-02-30,C4020,Coffee Machine,153.0,-500.9165574378977,PayPal,completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,Invalid Date | Invalid Price Value | Nonstandard Status,1
T0057,2023-13-01,C627,Laptop,863.0,,credit card,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,4,Invalid Date | Missing Price | Nonstandard Payment Method | Missing Status,1
T0058,2023-13-01,C3286,Smartphone,469.0,-424.31579152678114,pay pal,completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0059,,C2809,Tablet,4.0,-329.6249100867068,credit card,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,4,Missing Date | Invalid Price Value | Nonstandard Payment Method | Missing Status,1
T0060,2025-02-30,,Headphones,9.0,-774.7400993737688,pay pal,complete,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,6,Missing Customer ID | Invalid Customer ID | Invalid Date | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0061,2023-13-01,C3123,Headphones,6.0,-692.6956884654846,creditcard,completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0062,,C3832,Laptop,2.0,,PayPal ,Pending,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,Missing Date | Missing Price,1
T0063,2023-13-01,C185,T,,591.2612673906424,credit card,Pending,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,4,Invalid Date | Invalid Product | Missing Quantity | Nonstandard Payment Method,1
T0064,2025-02-30,C4415,Tablet,587.0,,Cash,complete,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,Invalid Date | Missing Price | Nonstandard Status,1
T0065,2023-13-01,C4884,Smartp,-6.0,$261.10,PayPal ,Pending,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,Invalid Date | Invalid Product | Invalid Quantity,1
T0066,2025-02-30,C4996,Laptop,399.0,416.86425090767176,PayPal,Pending,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Invalid Date,1
T0067,2023-13-01,C981,Tablet,769.0,,Cash,Failed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,Invalid Date | Missing Price,1
T0068,2023-13-01,C4424,Tablet,222.0,-893.0581296167652,PayPal,Failed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,Invalid Date | Invalid Price Value,1
T0069,2021-03-03,C1757,Headphones,-5.0,-750.9838518199657,credit card,complete,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,4,Invalid Quantity | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0070,2025-02-30,C4445,Coffee Machine,787.0,-197.82671183761192,PayPal ,complete,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,Invalid Date | Invalid Price Value | Nonstandard Status,1
T0071,2022-11-15,C1381,Laptop,9.0,,Cash,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,Missing Price | Missing Status,1
T0072,2023-13-01,C899,Headphones,3.0,,Credit Card,Failed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,Invalid Date | Missing Price,1
T0073,2021-04-10,C1319,Headp,9.0,,Cash,Pending,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,Invalid Product | Missing Price,1
T0074,2025-01-16,C4509,Laptop,7.0,,PayPal ,Pending,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Missing Price,1
T0075,2025-02-30,C3892,Laptop,6.0,310.0117870605701,pay pal,Pending,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,Invalid Date | Nonstandard Payment Method,1
T0076,2023-13-01,C2256,Smartphone,,-763.6891786969968,pay pal,complete,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,5,Invalid Date | Missing Quantity | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0077,2025-02-30,C3280,Smartphone,-8.0,,Cash,Pending,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,Invalid Date | Invalid Quantity | Missing Price,1
T0078,2025-02-30,C1586,Smartphone,4.0,,credit card,complete,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,Invalid Date | Missing Price | Nonstandard Payment Method | Nonstandard Status,1
T0079,2025-02-30,C4545,Laptop,10.0,-523.9728550305827,PayPal,Pending,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,Invalid Date | Invalid Price Value,1
T0080,2025-02-30,C3707,Coffee Machine,4.0,933.723570095747,pay pal,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3,Invalid Date | Nonstandard Payment Method | Missing Status,1
T0081,2023-02-28,C3687,Smartphone,8.0,-845.0306396233873,PayPal,Completed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Invalid Price Value,1
T0082,2025-02-30,,Laptop,2.0,-386.6519715886566,PayPal,,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,5,Missing Customer ID | Invalid Customer ID | Invalid Date | Invalid Price Value | Missing Status,1
T0083,2023-13-01,C2616,Tablet,7.0,447.1746873942077,pay pal,Completed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,Invalid Date | Nonstandard Payment Method,1
T0084,2023-13-01,C722,Tablet,4.0,811.1940409467047,PayPal ,Failed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Invalid Date,1
T0085,2025-02-30,C4399,Tablet,216.0,,Cash,,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,Invalid Date | Missing Price | Missing Status,1
T0086,2025-02-30,C058,Tablet,480.0,-784.8027259138621,Cash,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,Invalid Date | Invalid Price Value | Missing Status,1
T0087,2020-08-10,C703,Laptop,,-600.2502425594328,Cash,Completed,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,Missing Quantity | Invalid Price Value,1
T0088,2025-02-30,C4004,Headphones,9.0,-380.99749854004233,PayPal,complete,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,Invalid Date | Invalid Price Value | Nonstandard Status,1
T0089,,C4555,Headphones,709.0,,PayPal ,completed,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,Missing Date | Missing Price | Nonstandard Status,1
T0090,2025-02-30,C1678,Laptop,,-530.1376416743266,Cash,complete,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,Invalid Date | Missing Quantity | Invalid Price Value | Nonstandard Status,1
,2023-05-16,C308,Coffee Machine,824.0,577.5607699389858,creditcard,Failed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Missing Transaction ID | Invalid Transaction ID | Nonstandard Payment Method,1
T0092,2025-02-30,C3389,Smartphone,-10.0,,PayPal ,completed,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,4,Invalid Date | Invalid Quantity | Missing Price | Nonstandard Status,1
T0093,2024-12-31,C3843,Tablet,973.0,784.0773703024178,creditcard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Nonstandard Payment Method | Missing Status,1
T0094,2025-02-30,C2314,Headphones,733.0,,pay pal,Completed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,Invalid Date | Missing Price | Nonstandard Payment Method,1
T0095,2025-02-30,C529,Laptop,2.0,-149.55165829110524,credit card,Pending,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,Invalid Date | Invalid Price Value | Nonstandard Payment Method,1
T0096,2023-13-01,C1336,Coffee Machine,198.0,-315.07874385949754,Cash,completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,Invalid Date | Invalid Price Value | Nonstandard Status,1
T0097,2023-13-01,C2670,Smar,514.0,,Cash,,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,4,Invalid Date | Invalid Product | Missing Price | Missing Status,1
T0098,2023-13-01,C1341,Headphones,-9.0,-724.9198351872936,Credit Card,complete,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4,Invalid Date | Invalid Quantity | Invalid Price Value | Nonstandard Status,1
T0099,2025-02-30,C3685,Smartphone,909.0,-585.478005722021,pay pal,complete,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0100,2025-02-30,C1810,Coffee Machine,808.0,-157.03881972664124,pay pal,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Missing Status,1
T0101,2023-13-01,C2318,Tablet,367.0,272.6373223393598,Credit Card,Failed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Invalid Date,1
T0102,2025-02-30,C4239,Smartphone,131.0,-56.421763873178975,PayPal,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,Invalid Date | Invalid Price Value | Missing Status,1
T0103,2022-12-04,C327,Tablet,-10.0,-963.4581062931452,PayPal ,complete,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,Invalid Quantity | Invalid Price Value | Nonstandard Status,1
T0104,2025-02-30,C4574,Coffee Machine,857.0,322.3579934023191,Cash,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,Invalid Date | Missing Status,1
T0105,2025-02-30,C4377,Laptop,9.0,,creditcard,Pending,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,Invalid Date | Missing Price | Nonstandard Payment Method,1
,2025-02-30,C4261,Laptop,670.0,-197.03277785431612,pay pal,Failed,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,Missing Transaction ID | Invalid Transaction ID | Invalid Date | Invalid Price Value | Nonstandard Payment Method,1
T0107,2022-08-24,C4233,Laptop,-2.0,,creditcard,complete,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,Invalid Quantity | Missing Price | Nonstandard Payment Method | Nonstandard Status,1
T0108,2020-12-24,C4889,Smart,399.0,,creditcard,Completed,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,Invalid Product | Missing Price | Nonstandard Payment Method,1
T0109,,C1809,Headphones,6.0,380.72421934613766,PayPal,completed,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,Missing Date | Nonstandard Status,1
T0110,2025-02-30,C1186,Smartphone,-8.0,451.461130880405,pay pal,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,4,Invalid Date | Invalid Quantity | Nonstandard Payment Method | Missing Status,1
T0111,2023-13-01,C4669,Coffee Machine,889.0,,credit card,Failed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,Invalid Date | Missing Price | Nonstandard Payment Method,1
T0112,2024-09-06,C4249,Laptop,723.0,90.34728588175325,creditcard,Failed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Nonstandard Payment Method,1
T0113,2020-04-08,C2894,Headphones,-8.0,86.41580941098921,PayPal,complete,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,Invalid Quantity | Nonstandard Status,1
T0114,2023-13-01,C4252,Tablet,798.0,289.89395564796496,Cash,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,Invalid Date | Missing Status,1
T0115,2023-13-01,C4022,Headphones,,-261.14199297362666,pay pal,Pending,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,4,Invalid Date | Missing Quantity | Invalid Price Value | Nonstandard Payment Method,1
T0116,2025-02-30,C3190,Smartphone,787.0,-104.60377750302337,credit card,completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Nonstandard Status,1
T0117,2021-03-29,C4411,Tablet,300.0,,pay pal,Completed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Missing Price | Nonstandard Payment Method,1
T0118,2025-02-30,C2778,Headphones,-6.0,-276.43423074019086,creditcard,Completed,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4,Invalid Date | Invalid Quantity | Invalid Price Value | Nonstandard Payment Method,1
T0119,2025-02-30,C4517,Laptop,10.0,,creditcard,Failed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,3,Invalid Date | Missing Price | Nonstandard Payment Method,1
T0120,2025-02-30,,Coffee Machine,-7.0,159.45851825246467,PayPal ,Failed,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,Missing Customer ID | Invalid Customer ID | Invalid Date | Invalid Quantity,1
T0121,2023-13-01,C4087,Tablet,903.0,,Credit Card,Completed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,Invalid Date | Missing Price,1
T0122,2021-08-22,C4055,Headphones,603.0,,PayPal ,Pending,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Missing Price,1
T0123,2023-13-01,C2203,Headphones,3.0,-869.7954960216659,creditcard,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,4,Invalid Date | Invalid Price Value | Nonstandard Payment Method | Missing Status,1
T0124,2023-13-01,C2837,Tablet,-10.0,-463.1433791486562,PayPal,Failed,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,Invalid Date | Invalid Quantity | Invalid Price Value,1
,2021-12-02,C086,Coffee Machine,667.0,$-681.87,PayPal ,Pending,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Missing Transaction ID | Invalid Transaction ID | Invalid Price Value,1
T0126,2023-13-01,C572,Laptop,630.0,-224.96418545072925,Credit Card,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,Invalid Date | Invalid Price Value | Missing Status,1
T0127,2025-02-30,C2165,Headphones,-3.0,,pay pal,Failed,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,Invalid Date | Invalid Quantity | Missing Price | Nonstandard Payment Method,1
T0128,2023-13-01,C2883,Tablet,3.0,,pay pal,completed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,4,Invalid Date | Missing Price | Nonstandard Payment Method | Nonstandard Status,1
T0129,2021-11-14,C1399,La,996.0,,PayPal,completed,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,Invalid Product | Missing Price | Nonstandard Status,1
T0130,,C3104,Smart,5.0,$-594.77,pay pal,,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,5,Missing Date | Invalid Product | Invalid Price Value | Nonstandard Payment Method | Missing Status,1
T0131,2025-02-30,C2556,Laptop,1.0,$-177.14,Credit Card,Completed,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,Invalid Date | Invalid Price Value,1
